rawmat_id,name_raw,detail,unit,carbon_per_kg,type_raw
41,"Carbon dioxide",ก๊าซคาร์บอนไดออกไซด์ที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ,kg,1.0506,"natural gas"
42,Propane,โพรเพนที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ,kg,1.1692,"natural gas"
43,Methane,"ก๊าซธรรมชาติ (มีเทน) ที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ",kg,1.1283,"natural gas"
44,Ethane,อีเทนที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ,kg,1.1608,"natural gas"
45,"Natural Gas Liquid",ก๊าซธรรมชาติเหลวที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ,kg,1.156,"natural gas"
46,"Cooking Gas",ก๊าซหุงต้มที่ได้จากกระบวนการแยกก๊าซธรรมชาติ,kg,1.1839,"natural gas"
47,"Mixed Gas","ก๊าซธรรมชาติที่นำเข้ามาจากประเทศพม่าและ LNG จากการนำเข้า",kg,0.7544,"natural gas"
48,"Mixed Gas","ก๊าซธรรมชาติที่นำเข้ามาจากประเทศพม่าและ LNG จากการนำเข้า",m3,0.5767,"natural gas"
49,"Liquefied Petroleum Gas,LPG Mixed",ก๊าซหุงต้มผสมก๊าซหุงต้มจากกระบวนการกลั่นน้ำมันดิบและก๊าซหุงต้มจากกระบวนการแยกก๊าซธรรมชาติ,kg,0.8582,"liquid and solid fuels"
50,"Naphtha (แนฟทา) ",แนฟทาที่ได้จากกระบวนการกลั่นน้ำมันดิบ,kg,0.2972,"liquid and solid fuels"
51,"ก๊าซหุงต้ม ",ก๊าซหุงต้มที่ได้จากกระบวนการกลั่นน้ำมันดิบ,kg,0.4267,"liquid and solid fuels"
52,"Gasoline (แก๊สโซลีน)","แก๊สโซลีน (น้ำมันเบนซิน ) ที่ได้จากกระบวนการกลั่นน้ำมันดิบ",kg,0.4024,"liquid and solid fuels"
53,"Kerosene or Jet oil",น้ำมันก๊าดหรือน้ำมันเครื่องบินที่ได้จากกระบวนการกลั่นน้ำมันดิบ,kg,0.3284,"liquid and solid fuels"
54,"Fuel oil (น้ำมันเตา) ",น้ำมันเตาที่ได้จากกระบวนการกลั่นน้ำมันดิบ,kg,0.3743,"liquid and solid fuels"
55,"Diesel (น้ำมันดีเซล / น้ำมันโซล่าร์)",น้ำมันดีเซลที่ได้จากกระบวนการกลั่นน้ำมันดิบ,kg,0.3522,"liquid and solid fuels"
56,"ซัลเฟอร์ ","ซัลเฟอรท์ ที่ได้จากกระบวนการกลั่นน้ามันดิบ",kg,0.239,"liquid and solid fuels"
57,"Charcoal (ถ่านไม้) ","Charcoal, at plant ",kg,1.0054,"liquid and solid fuels"
58,การผลิตถ่านหิน,"Lignite coal, at surface mine ",kg,0.1187,"liquid and solid fuels"
